-1816;71;-1056;1725773543423;world
-1812;71;-1056;1725773544767;world
-1824;72;-1074;1725773451169;world
-1818;75;-1056;1725773366363;world
-1824;71;-1056;1725773535027;world
-1814;75;-1056;1725773365566;world
-1820;71;-1056;1725773539368;world
-1826;75;-1056;1725773368164;world
-1812;71;-1074;1725773472466;world
-1822;75;-1056;1725773367367;world
-1815;75;-1074;1725773337121;world
-1821;71;-1074;1725773447871;world
-1831;75;-1056;1725773370117;world
-1817;71;-1074;1725773466613;world
-1823;75;-1074;1725773333014;world
-1819;75;-1074;1725773335088;world
-1824;73;-1074;1725773450619;world
-1831;75;-1074;1725773319962;world
-1827;75;-1074;1725773322263;world
-1821;72;-1074;1725773447017;world
-1824;74;-1074;1725773450368;world
-1813;71;-1056;1725773544123;world
-1811;75;-1057;1725773364363;world
-1811;75;-1063;1725773358811;world
-1811;75;-1062;1725773359015;world
-1821;71;-1056;1725773538965;world
-1811;75;-1065;1725773358414;world
-1811;75;-1064;1725773358612;world
-1819;75;-1056;1725773366564;world
-1811;75;-1059;1725773359864;world
-1811;75;-1058;1725773360061;world
-1817;71;-1056;1725773543129;world
-1811;75;-1061;1725773359464;world
-1811;75;-1060;1725773359666;world
-1815;75;-1056;1725773365768;world
-1811;75;-1071;1725773357062;world
-1811;75;-1070;1725773357257;world
-1811;75;-1073;1725773356661;world
-1811;75;-1072;1725773356861;world
-1827;75;-1056;1725773368416;world
-1813;71;-1074;1725773472170;world
-1811;75;-1067;1725773357862;world
-1811;75;-1066;1725773358067;world
-1811;75;-1069;1725773357468;world
-1811;75;-1068;1725773357658;world
-1823;75;-1056;1725773367513;world
-1816;75;-1074;1725773336721;world
-1812;75;-1074;1725773339559;world
-1832;75;-1056;1725773370267;world
-1818;71;-1074;1725773466468;world
-1824;75;-1074;1725773329630;world
-1820;75;-1074;1725773334772;world
-1821;73;-1074;1725773446465;world
-1832;75;-1074;1725773319772;world
-1828;75;-1074;1725773322066;world
-1814;71;-1056;1725773542265;world
-1812;75;-1056;1725773365177;world
-1821;74;-1074;1725773445911;world
-1822;71;-1056;1725773535429;world
-1820;75;-1056;1725773366766;world
-1818;71;-1056;1725773539765;world
-1816;75;-1056;1725773365963;world
-1828;75;-1056;1725773368571;world
-1814;71;-1074;1725773471865;world
-1824;75;-1056;1725773367722;world
-1833;75;-1056;1725773370767;world
-1819;71;-1074;1725773466270;world
-1817;75;-1074;1725773336271;world
-1829;75;-1056;1725773368821;world
-1815;71;-1074;1725773467265;world
-1813;75;-1074;1725773338529;world
-1825;75;-1074;1725773323471;world
-1821;75;-1074;1725773334422;world
-1833;75;-1074;1725773319568;world
-1829;75;-1074;1725773320569;world
-1815;71;-1056;1725773543777;world
-1817;75;-1056;1725773366163;world
-1823;71;-1056;1725773535215;world
-1813;75;-1056;1725773365363;world
-1819;71;-1056;1725773539565;world
-1825;75;-1056;1725773367968;world
-1821;75;-1056;1725773367112;world
-1820;71;-1074;1725773466023;world
-1834;75;-1058;1725773304573;world
-1818;75;-1074;1725773335780;world
-1834;75;-1057;1725773307757;world
-1830;75;-1056;1725773369209;world
-1816;71;-1074;1725773468366;world
-1814;75;-1074;1725773337721;world
-1834;75;-1064;1725773302212;world
-1834;75;-1063;1725773301010;world
-1834;75;-1066;1725773299809;world
-1826;75;-1074;1725773323079;world
-1834;75;-1065;1725773300019;world
-1834;75;-1060;1725773304227;world
-1824;71;-1074;1725773452277;world
-1834;75;-1059;1725773304419;world
-1834;75;-1062;1725773303872;world
-1822;75;-1074;1725773333962;world
-1834;75;-1061;1725773304017;world
-1834;75;-1072;1725773272522;world
-1834;75;-1071;1725773272772;world
-1834;75;-1073;1725773272130;world
-1834;75;-1068;1725773273809;world
-1834;75;-1067;1725773299615;world
-1834;75;-1070;1725773272996;world
-1830;75;-1074;1725773320160;world
-1834;75;-1069;1725773273277;world
